c0001,Lenovo ThinkPad X1 Carbon 20K4002UUS,"The Lenovo ThinkPad X1 Carbon 20K4002UUS has a 14 inch IPS Full HD LED display which makes each image and video appear sharp and crisp. The Thinkpad has an Intel Core i5 6200U 2.3 GHz Dual-core processor with Intel HD 520 graphics and 8 GB LPDDR3 SDRAM that gives lag free experience. It has a 180 GB SSD which makes all essential data and entertainment files handy. It supports 802.11ac and Bluetooth 4.1 and runs on Windows 7 Pro 64-bit downgrade from Windows 10 Pro 64-bit operating system. The ThinkPad X1 Carbon has two USB 3.1 Gen 1 ports which enables 10 times faster file transfer and has Gigabit ethernet for network communication. This notebook comes with 3 cell Lithium ion battery which gives upto 15.5 hours of battery life.",Lenovo,699.99
c0002,Acer Predator 15 G9-593-77WF Notebook,The Acer G9-593-77WF Predator 15 Notebook comes with a 15.6 inch IPS display that makes each image and video appear sharp and crisp. The laptop has Intel Core i7-6700HQ 2.60 GHz processor with NVIDIA Geforce GTX 1070 graphics and 16 GB DDR4 SDRAM that gives lag free experience. The laptop comes with 1 TB HDD along with 256 GB SSD which makes all essential data and entertainment files handy.,Acer,1899.99
c0003,TomTom Trucker 600,"Get customized routes for your vehicle type, size, weight, cargo and speed, making your journeys more time efficient with this truck gps navigation device. Customized truck routing takes the guesswork out of driving.",TomTom,249.99
c0004,RV TABLET 70,"The Rand Mcnally RV Tablet 70 with GPS is designed to create the ultimate road trip with memories to last a lifetime. It comes with Lifetime Maps for providing regular map updates. The Advanced Lane Guidance prepares you for sharp turns and intersections. The RV Tablet 70 with GPS has 7-inch IPS LCD which allows to get the big picture. View map detail, driving directions, photos and more in bright, brilliant color. Rand McNally continues to innovate and upgrade its line of award-winning devices designed just for RVs.",Rand McNally,349.99
